"SAMPLE_NUMBER","ORIGINAL_SAMPLE","LOGIN_DATE","LOGIN_DATE","ANALYSIS","PREP_DATE","DATE_STARTED","DATE_COMPLETED","STATUS","LAB","REPLICATE_COUNT","CUSTOMER"
"9222703","9222703","31/10/2016 11:56:40 AM","31/10/2016 11:56:40 AM","FATS011299","02/11/2016 08:08:59 AM","02/11/2016 08:48:15 AM","02/11/2016 03:25:06 PM","A","CHEMISTRY","1","MGTDP"
"9222726","9222726","31/10/2016 12:02:33 PM","31/10/2016 12:02:33 PM","FATS011299","02/11/2016 08:15:08 AM","02/11/2016 08:48:15 AM","02/11/2016 03:25:08 PM","A","CHEMISTRY","1","MGTDP"
"9222686","9222686","31/10/2016 11:51:29 AM","31/10/2016 11:51:29 AM","FATS011299","02/11/2016 08:12:34 AM","02/11/2016 08:48:15 AM","02/11/2016 03:25:04 PM","A","CHEMISTRY","1","MGTDP"
"9229909","9229909","02/11/2016 01:51:05 PM","02/11/2016 01:51:05 PM","EXTM010493","","06/11/2016 11:32:33 AM","06/11/2016 11:32:33 AM","A","CHEMISTRY","1","MGTDP"
"9238239","9238239","04/11/2016 11:52:15 AM","04/11/2016 11:52:15 AM","DISP030895","06/11/2016 12:35:44 PM","","","X","CHEMISTRY","1","MGTDP"
"9233479","9233479","03/11/2016 11:50:11 AM","03/11/2016 11:50:11 AM","DISP030895","04/11/2016 03:11:26 PM","","","X","CHEMISTRY","1","MGTDP"
"9229672","9229672","02/11/2016 01:10:55 PM","02/11/2016 01:10:55 PM","FATS011299","03/11/2016 03:06:22 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229675","9229675","02/11/2016 01:11:33 PM","02/11/2016 01:11:33 PM","FATS011299","03/11/2016 03:01:16 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229676","9229676","02/11/2016 01:11:51 PM","02/11/2016 01:11:51 PM","FATS011299","03/11/2016 03:10:00 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229677","9229677","02/11/2016 01:12:13 PM","02/11/2016 01:12:13 PM","FATS011299","03/11/2016 03:12:51 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229680","9229680","02/11/2016 01:12:34 PM","02/11/2016 01:12:34 PM","FATS011299","03/11/2016 03:02:19 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229684","9229684","02/11/2016 01:12:59 PM","02/11/2016 01:12:59 PM","FATS011299","03/11/2016 03:10:52 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","A","CHEMISTRY","1","MGTDP"
"9229685","9229685","02/11/2016 01:13:39 PM","02/11/2016 01:13:39 PM","FATS011299","03/11/2016 03:11:36 PM","04/11/2016 08:14:22 AM","04/11/2016 01:46:28 PM","R","CHEMISTRY","1","MGTDP"
"9238239","9238239","04/11/2016 11:52:15 AM","04/11/2016 11:52:15 AM","DISP010693","06/11/2016 12:35:44 PM","09/11/2016 03:05:44 PM","09/11/2016 03:05:44 PM","A","CHEMISTRY","1","MGTDP"
"9239883","9239883","04/11/2016 03:42:34 PM","04/11/2016 03:42:34 PM","DISP010693","06/11/2016 12:33:44 PM","09/11/2016 03:05:44 PM","09/11/2016 03:05:44 PM","A","CHEMISTRY","1","MGTDP"
"9233479","9233479","03/11/2016 11:50:11 AM","03/11/2016 11:50:11 AM","DISP010693","04/11/2016 03:11:26 PM","09/11/2016 03:05:44 PM","09/11/2016 03:05:44 PM","A","CHEMISTRY","1","MGTDP"
"9239883","9239883","04/11/2016 03:42:34 PM","04/11/2016 03:42:34 PM","BDEN010493","06/11/2016 12:33:44 PM","07/11/2016 10:53:18 AM","07/11/2016 12:25:25 PM","A","CHEMISTRY","1","MGTDP"
"9238239","9238239","04/11/2016 11:52:15 AM","04/11/2016 11:52:15 AM","BDEN010493","06/11/2016 12:35:44 PM","07/11/2016 10:53:18 AM","07/11/2016 12:38:49 PM","A","CHEMISTRY","1","MGTDP"
"9233479","9233479","03/11/2016 11:50:11 AM","03/11/2016 11:50:11 AM","BDEN010493","04/11/2016 03:11:26 PM","07/11/2016 10:53:18 AM","07/11/2016 12:33:05 PM","A","CHEMISTRY","1","MGTDP"
"9239883","9239883","04/11/2016 03:42:34 PM","04/11/2016 03:42:34 PM","APCO010195","06/11/2016 12:33:44 PM","08/11/2016 10:42:43 AM","08/11/2016 10:42:43 AM","A","CHEMISTRY","1","MGTDP"
"9238239","9238239","04/11/2016 11:52:15 AM","04/11/2016 11:52:15 AM","APCO010195","06/11/2016 12:35:44 PM","08/11/2016 10:42:43 AM","08/11/2016 10:42:43 AM","A","CHEMISTRY","1","MGTDP"
"9233479","9233479","03/11/2016 11:50:11 AM","03/11/2016 11:50:11 AM","APCO010195","04/11/2016 03:11:26 PM","07/11/2016 11:03:46 AM","07/11/2016 11:03:46 AM","A","CHEMISTRY","1","MGTDP"
"9229885","9229885","02/11/2016 01:47:31 PM","02/11/2016 01:47:31 PM","APCO010195","03/11/2016 04:54:03 PM","07/11/2016 11:03:46 AM","07/11/2016 11:03:46 AM","A","CHEMISTRY","1","MGTDP"
"9225559","9225559","01/11/2016 11:22:15 AM","01/11/2016 11:22:15 AM","APCO010195","02/11/2016 04:46:11 PM","04/11/2016 03:32:14 PM","04/11/2016 03:32:14 PM","A","CHEMISTRY","1","MGTDP"
"9222726","9222726","31/10/2016 12:02:33 PM","31/10/2016 12:02:33 PM","APCO010195","02/11/2016 08:15:08 AM","03/11/2016 10:00:39 AM","03/11/2016 10:00:39 AM","A","CHEMISTRY","1","MGTDP"
"9222703","9222703","31/10/2016 11:56:40 AM","31/10/2016 11:56:40 AM","APCO010195","02/11/2016 08:08:59 AM","03/11/2016 10:00:39 AM","03/11/2016 10:00:39 AM","A","CHEMISTRY","1","MGTDP"
"9222686","9222686","31/10/2016 11:51:29 AM","31/10/2016 11:51:29 AM","APCO010195","02/11/2016 08:12:34 AM","03/11/2016 10:00:39 AM","03/11/2016 10:00:39 AM","A","CHEMISTRY","1","MGTDP"
"9229913","9229913","02/11/2016 01:51:20 PM","02/11/2016 01:51:20 PM","ACIV001114","","04/11/2016 01:12:49 PM","04/11/2016 01:13:25 PM","A","CHEMISTRY","1","MGTDP"
"9225559","9225559","01/11/2016 11:22:15 AM","01/11/2016 11:22:15 AM","FATS011299","02/11/2016 04:46:11 PM","03/11/2016 02:53:27 PM","03/11/2016 02:53:27 PM","A","CHEMISTRY","1","MGTDP"
"9226231","9226231","01/11/2016 01:53:35 PM","01/11/2016 01:53:35 PM","FATS011299","02/11/2016 02:26:48 PM","03/11/2016 02:53:30 PM","03/11/2016 02:53:30 PM","A","CHEMISTRY","1","MGTDP"
"9226232","9226232","01/11/2016 01:53:53 PM","01/11/2016 01:53:53 PM","FATS011299","02/11/2016 02:26:01 PM","03/11/2016 02:53:33 PM","03/11/2016 02:53:33 PM","A","CHEMISTRY","1","MGTDP"
"9239883","9239883","04/11/2016 03:42:34 PM","04/11/2016 03:42:34 PM","DISP041295","06/11/2016 12:33:44 PM","09/11/2016 01:06:03 PM","09/11/2016 01:06:03 PM","A","CHEMISTRY","1","MGTDP"
"9238239","9238239","04/11/2016 11:52:15 AM","04/11/2016 11:52:15 AM","DISP041295","06/11/2016 12:35:44 PM","09/11/2016 01:06:03 PM","09/11/2016 01:06:03 PM","A","CHEMISTRY","1","MGTDP"
"9233479","9233479","03/11/2016 11:50:11 AM","03/11/2016 11:50:11 AM","DISP041295","04/11/2016 03:11:26 PM","09/11/2016 01:06:03 PM","09/11/2016 01:06:03 PM","A","CHEMISTRY","1","MGTDP"
"9226235","9226235","01/11/2016 01:54:13 PM","01/11/2016 01:54:13 PM","FATS011299","02/11/2016 02:23:45 PM","03/11/2016 02:53:36 PM","03/11/2016 02:53:36 PM","A","CHEMISTRY","1","MGTDP"
"9229913","9229913","02/11/2016 01:51:20 PM","02/11/2016 01:51:20 PM","CLAR011097","","08/11/2016 12:33:31 PM","08/11/2016 12:33:31 PM","A","CHEMISTRY","1","MGTDP"
